Tiempo,Ruta,Foco en Pantalla (UI Action),English Voiceover,Locucion en Español (Referencia)
0:00 - 0:10,/3d-showroom,Vista general de /3d-showroom. Mostrar la interfaz con estetica liquid-glass.,Welcome to the WebMCP Angular Toolkit — bringing the W3C Model Context Protocol directly into Angular 22.,Bienvenidos al WebMCP Angular Toolkit: llevando el protocolo W3C WebMCP directo a Angular 22.
0:10 - 0:20,/3d-showroom,Cursor al badge verde Native WebMCP y al contador de tools activas en el navbar.,We connect Angular Signals directly to AI models without brittle DOM scraping or intermediate backend hops.,Conectamos Angular Signals directo a modelos de IA sin scraping de DOM ni servidores intermedios.
0:20 - 0:30,/3d-showroom,Clic en el boton flotante para abrir el drawer lateral del AI Copilot.,Human and agent share the exact same reactive state in real time with full bidirectionality.,Humano y agente comparten exactamente el mismo estado reactivo en tiempo real y de forma bidireccional.
0:30 - 0:40,/3d-showroom,"Enviar en el chat: ""Orbit camera 90 degrees, paint chassis Neon Cyan, and take a screenshot.""","Let us instruct the Copilot to orbit the 3D scene, adjust the PBR shader, and visually inspect the canvas.","Le ordenamos al Copilot rotar la escena 3D, ajustar el shader PBR e inspeccionar visualmente el canvas."
0:40 - 0:50,/3d-showroom,La camara Three.js rota suavemente a 60 FPS con CameraInterpolator.,"The agent executes scene_3d_action, synchronized to Three.js loop through our SceneActionBus at 60 FPS.","El agente ejecuta scene_3d_action, sincronizado a 60 FPS con Three.js via nuestro SceneActionBus."
0:50 - 1:00,/3d-showroom,El chasis cambia a color cyan neon y se ejecuta la tool take_screenshot.,It immediately updates the material and captures the raw WebGL canvas buffer via take_screenshot.,Aplica de inmediato el material y captura el buffer WebGL del canvas mediante take_screenshot.
1:00 - 1:10,/3d-showroom,Aparece el thumbnail en el chat. Clic para abrir el modal Lightbox de previsualizacion.,Multimodal feedback: the agent visually verifies its own modifications directly within the client.,Feedback multimodal: el agente verifica visualmente sus propias modificaciones directo en el cliente.
1:10 - 1:20,/3d-showroom,Cerrar lightbox y enfocar la barra de herramientas CAD Studio en el canvas 3D.,Now let us switch to spatial modeling: a SketchUp-style CAD studio operated by both humans and AI.,Pasemos al modelado espacial: un CAD studio estilo SketchUp operado por humanos y por IA.
1:20 - 1:30,/3d-showroom,"Enviar en el chat: ""Draw a 10x10 foundation and extrude it by 4 meters.""",We prompt the agent to draw a 2D planar profile and extrude it into a solid 3D architectural volume.,Le pedimos trazar un perfil 2D planar y extruirlo como un volumen arquitectonico 3D solido.
1:30 - 1:40,/3d-showroom,Ver la base en la grilla y el levantamiento push-pull en vivo en 3D.,"Using cad_draw_shape and cad_push_pull, the agent computes parametric solids onto the scene graph.","Con cad_draw_shape y cad_push_pull, el agente calcula solidos parametricos sobre el scene graph."
1:40 - 1:50,/3d-showroom,Rotar suavemente la vista con el mouse para mostrar sombras y volumen creado.,Human DCC manual controls and agent tool calls mutate the exact same underlying Three.js scene.,Tanto los controles manuales como las tools del agente mutan exactamente la misma escena Three.js.
1:50 - 2:00,/enterprise-bi,Clic en el navbar superior para navegar a /enterprise-bi.,"Next, let us explore mission-critical workflows in our reactive Business Intelligence dashboard.",Veamos ahora flujos de mision critica en nuestro dashboard reactivo de Business Intelligence.
2:00 - 2:10,/enterprise-bi,"Enviar prompt: ""Audit financial risk transactions and trigger supply chain reorder.""",A complex multi-domain task requiring real-time anomaly detection and emergency procurement.,Una tarea multi-dominio compleja que exige deteccion de anomalias y compras de emergencia.
2:10 - 2:20,/enterprise-bi,Mostrar el panel de SubAgents SDK: ver la delegacion hacia analytics-specialist.,"Our dynamic SubAgents SDK decomposes the request to a specialized worker, saving 85% of LLM tokens.","El SDK descompone el pedido y lo delega a un sub-agente especializado, ahorrando 85% de tokens."
2:20 - 2:30,/enterprise-bi,La tabla filtra transacciones de riesgo y se abre el modal de orden de compra.,"It filters high-risk anomalies, computes stockout KPIs, and autofills the purchase order form.","Filtra anomalias de riesgo, calcula KPIs de faltante y autocompleta la orden de compra."
2:30 - 2:40,/enterprise-bi,Clic en confirmar compra. Mostrar el recibo con hash criptografico SHA-256.,The transaction completes with an official cryptographic SHA-256 audit receipt issued on the client.,La orden se confirma emitiendo un recibo criptografico SHA-256 auditable en el cliente.
2:40 - 2:50,/inspector,Navegar a /inspector. Mostrar la tabla de telemetria y latencias milimetricas.,"In the WebMCP Inspector, developers can monitor live tool contracts, payload schemas, and latencies.","En el WebMCP Inspector monitoreamos los contratos de tools, esquemas y tiempos de ejecucion en vivo."
2:50 - 3:00,/judge-guide,Navegar a /judge-guide. Mostrar la checklist y el resumen de los 352 tests en Bun.,"Rock-solid architecture, 352 automated tests passing on Bun, and 100% W3C compliant. Thank you!","Arquitectura solida, 352 tests automatizados pasando en Bun y 100% estandar W3C. ¡Muchas gracias!"
